DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,199,AHL,20250508,33.25,34,31.66,32.5,32.5,6576600,34,31.66,32.5,0,32.5,0,215186352,6576600,1,0.07037594,0,-0.022556391,0,0.073910297,0,0,0,20250508,0,20250508,0.073910297,20250508,32.5,20250508,32.5,20250508,6576600,20250508
2,198,AHL,20250509,32.47,35.24,32.47,34.46,34.46,1353800,35.24,31.66,33.48,0,33.48,0,46105915.33,3965200,0.341420357,0.085309516,0.060307692,0.061287342,-0.000923077,0.085309516,0.042643978,0.676952167,0.060307692,20250509,0,20250508,0.085309516,20250509,34.46,20250509,32.5,20250508,6576600,20250508
3,197,AHL,20250512,34.39,35.1,34,34.74,34.74,415600,35.24,31.66,33.9,0,33.9,0,14385301.33,2782000,0.149388929,0.031986042,0.008125363,0.010177377,-0.002031341,0.032352941,0.032726225,0.519512715,0.060307692,20250509,0,20250508,0.085309516,20250509,34.74,20250512,32.5,20250508,6576600,20250508
4,196,AHL,20250513,34.5,35.95,34.46,35.66,35.66,379900,35.95,31.66,34.34,0,34.34,0,13431997.67,2181475,0.174148225,0.043188406,0.026482441,0.033623188,-0.006908463,0.043238537,0.026783833,0.425180165,0.060307692,20250509,0,20250508,0.085309516,20250509,35.66,20250513,32.5,20250508,6576600,20250508
5,195,AHL,20250514,35.12,36.1,34.67,35.01,35.01,235500,36.1,31.66,34.474,0,34.474,0,8303730,1792280,0.13139688,0.04071754,-0.018227706,-0.003132118,-0.015143017,0.041246034,0.029834564,0.473609018,0.060307692,20250509,-0.018227706,20250514,0.085309516,20250509,35.66,20250513,35.01,20250514,6576600,20250508
6,194,AHL,20250515,34.31,35.25,34.19,34.6,34.6,256100,36.1,31.66,34.495,0,34.495,0,8881548,1536250,0.166704638,0.030894783,-0.01171094,0.008452346,-0.019994287,0.031003217,0.028879367,0.458445737,0.060307692,20250509,-0.018227706,20250514,0.085309516,20250509,35.66,20250513,34.6,20250515,6576600,20250508
7,193,AHL,20250516,34.25,35.19,33.63,34.74,34.74,203300,36.1,31.66,34.53,0,34.53,0,7017916,1345828.571,0.151059358,0.045547445,0.004046243,0.014306569,-0.010115607,0.046387154,0.026487507,0.420476141,0.060307692,20250509,-0.018227706,20250514,0.085309516,20250509,35.66,20250513,34.74,20250516,6576600,20250508
8,192,AHL,20250519,33.97,34.82,33.5,34.18,34.18,194500,36.1,31.66,34.48625,0,34.48625,0,6645416.667,1201912.5,0.161825424,0.038857816,-0.016119747,0.006181925,-0.022164652,0.039402985,0.026186494,0.415697699,0.060307692,20250509,-0.018227706,20250514,0.085309516,20250509,35.66,20250513,34.18,20250519,6576600,20250508
9,191,AHL,20250520,34.36,34.58,33.67,34.39,34.39,126900,36.1,31.66,34.47555556,0,34.47555556,0,4341672,1082466.667,0.117232247,0.026484284,0.006143944,0.000873108,0.005266238,0.027027027,0.024495721,0.38885751,0.060307692,20250509,-0.018227706,20250514,0.085309516,20250509,35.66,20250513,34.39,20250520,6576600,20250508
10,190,AHL,20250521,33.64,35.19,33.64,35.18,35.18,174200,36.1,31.66,34.546,0,34.546,0,6039514,991640,0.175668589,0.0460761,0.022971794,0.045778835,-0.021808665,0.0460761,0.023670683,0.37576044,0.060307692,20250509,-0.018227706,20250514,0.085309516,20250509,35.66,20250513,35.18,20250521,6576600,20250508
