DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,1628,AKRO,20190620,16.16,21.94,16.06,18.32,18.32,2983284,21.94,16.06,18.32,0,18.32,0,56006184.96,2983284,1,0.363861386,0,0.133663366,0,0.366127024,0,0,0,20190620,0,20190620,0.366127024,20190620,18.32,20190620,18.32,20190620,2983284,20190620
2,1627,0,20190621,17.58,19.7,16.86,19.7,19.7,304377,21.94,16.06,19.01,0,19.01,0,5708083.34,1643830.5,0.185163251,0.161547213,0.075327511,0.120591581,-0.040393013,0.168446026,0.053264594,0.845549213,0.075327511,20190621,0,20190620,0.366127024,20190620,19.7,20190621,18.32,20190620,2983284,20190620
3,1626,0,20190624,19.74,20.83,18.7,19.04,19.04,296363,21.94,16.06,19.02,0,19.02,0,5785993.637,1194674.667,0.248070046,0.107902736,-0.033502538,-0.035460993,0.002030457,0.113903743,0.055738427,0.884820099,0.075327511,20190621,-0.033502538,20190624,0.366127024,20190620,19.7,20190621,19.04,20190624,2983284,20190620
4,1625,0,20190625,19.11,19.11,17.42,18.08,18.08,201909,21.94,16.06,18.785,0,18.785,0,3675416.83,946483.25,0.213325487,0.088435374,-0.050420168,-0.053898482,0.003676471,0.097014925,0.05573861,0.884823004,0.075327511,20190621,-0.050420168,20190625,0.366127024,20190620,19.7,20190621,18.08,20190625,2983284,20190620
5,1624,0,20190626,18.34,20.13,17.41,19.83,19.83,138763,21.94,16.06,18.994,0,18.994,0,2653611.103,784939.2,0.176781845,0.148309706,0.096792035,0.081243184,0.014380531,0.156232051,0.065482457,1.039501785,0.096792035,20190626,-0.050420168,20190625,0.366127024,20190620,19.83,20190626,18.08,20190625,2983284,20190620
6,1623,0,20190627,19.76,19.76,18.22,18.56,18.56,50364,21.94,16.06,18.92166667,0,18.92166667,0,949193.52,662510,0.076019985,0.077935223,-0.064044377,-0.060728745,-0.003530005,0.084522503,0.067397335,1.069899531,0.096792035,20190626,-0.064044377,20190627,0.366127024,20190620,19.83,20190626,18.56,20190627,2983284,20190620
7,1622,0,20190628,18.62,19.73,18.58,19.15,19.15,87694,21.94,16.06,18.95428571,0,18.95428571,0,1679632.413,580393.4286,0.151094061,0.061761547,0.031788793,0.028464017,0.003232759,0.06189451,0.062413533,0.990784117,0.096792035,20190626,-0.064044377,20190627,0.366127024,20190620,19.83,20190626,19.15,20190628,2983284,20190620
8,1621,0,20190701,19.36,20.42,18.72,19.03,19.03,160896,21.94,16.06,18.96375,0,18.96375,0,3119773.44,527956.25,0.304752524,0.087809917,-0.006266319,-0.017045455,0.010966057,0.090811966,0.058003167,0.920771734,0.096792035,20190626,-0.064044377,20190627,0.366127024,20190620,19.83,20190626,19.03,20190701,2983284,20190620
9,1620,0,20190702,18.71,18.77,17.69,18.35,18.35,60554,21.94,16.06,18.89555556,0,18.89555556,0,1106321.58,476022.6667,0.127208228,0.057723143,-0.035733053,-0.019241048,-0.016815554,0.061051441,0.056029318,0.889437844,0.096792035,20190626,-0.064044377,20190627,0.366127024,20190620,19.83,20190626,18.35,20190702,2983284,20190620
10,1619,0,20190703,18.49,19.19,17.87,19.19,19.19,61009,21.94,16.06,18.925,0,18.925,0,1143918.75,434521.3,0.140405085,0.071389941,0.045776567,0.037858302,0.007629428,0.073866816,0.054645054,0.867463344,0.096792035,20190626,-0.064044377,20190627,0.366127024,20190620,19.83,20190626,19.19,20190703,2983284,20190620
11,1618,0,20190705,19.2,19.72,17.12,19.18,19.18,144768,21.94,16.06,18.94818182,0,18.94818182,0,2703301.12,408180.0909,0.35466698,0.135416667,-0.000521105,-0.001041667,0.000521105,0.151869159,0.051877802,0.823534576,0.096792035,20190626,-0.064044377,20190627,0.366127024,20190620,19.83,20190626,19.18,20190705,2983284,20190620
12,1617,0,20190708,18.82,18.9,17.7,17.85,17.85,39063,21.94,16.06,18.85666667,0,18.85666667,0,708993.45,377420.3333,0.103499988,0.063761955,-0.069343066,-0.051540914,-0.018769552,0.06779661,0.053962547,0.856628877,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,19.83,20190626,17.85,20190708,2983284,20190620
13,1616,0,20190709,17.85,18.35,17.12,17.2,17.2,85980,21.94,16.06,18.72923077,0,18.72923077,0,1509522.2,355001.8462,0.242195924,0.068907563,-0.036414566,-0.036414566,0,0.071845794,0.052598607,0.834976999,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,19.83,20190626,17.2,20190709,2983284,20190620
14,1615,0,20190710,17.49,17.49,16.15,16.89,16.89,80373,21.94,16.06,18.59785714,0,18.59785714,0,1353749.23,335385.5,0.239643634,0.076615209,-0.018023256,-0.034305317,0.016860465,0.082972136,0.050682288,0.804556386,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,19.83,20190626,16.89,20190710,2983284,20190620
15,1614,0,20190711,16.68,18.85,16.08,18.37,18.37,153550,21.94,16.06,18.58266667,0,18.58266667,0,2728071.667,323263.1333,0.475000036,0.166067146,0.087625814,0.101318945,-0.012433393,0.172263682,0.054336152,0.862559679,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,19.83,20190626,18.37,20190711,2983284,20190620
16,1613,0,20190712,18.59,19.88,17.16,19.88,19.88,62657,21.94,16.06,18.66375,0,18.66375,0,1188812.147,306975.25,0.204110918,0.146315223,0.082199238,0.069392146,0.011976048,0.158508159,0.056233869,0.892684989,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,19.88,20190712,18.37,20190711,2983284,20190620
17,1612,0,20190715,20.4,20.81,19.83,20.75,20.75,99573,21.94,16.06,18.78647059,0,18.78647059,0,2037595.49,294775.1176,0.337793097,0.048039216,0.043762575,0.017156863,0.026156942,0.049420071,0.055190073,0.876115241,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,20.75,20190715,18.37,20190711,2983284,20190620
18,1611,0,20190716,20.8,21,20.5,20.53,20.53,72123,21.94,16.06,18.88333333,0,18.88333333,0,1491263.23,282405.5556,0.255388035,0.024038462,-0.01060241,-0.012980769,0.002409639,0.024390244,0.053736482,0.853040208,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,20.75,20190715,20.53,20190716,2983284,20190620
19,1610,0,20190717,20.45,21.89,19.08,21.55,21.55,138521,21.94,16.06,19.02368421,0,19.02368421,0,2886777.64,274832.6842,0.504019383,0.137408313,0.04968339,0.053789731,-0.003896736,0.147274633,0.053103711,0.842995282,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,21.55,20190717,20.53,20190716,2983284,20190620
20,1609,0,20190718,21.26,21.54,20.42,20.64,20.64,72307,21.94,16.06,19.1045,0,19.1045,0,1508806.067,264706.4,0.273159244,0.052681091,-0.042227378,-0.029162747,-0.013457077,0.054848188,0.052985299,0.841115553,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,21.55,20190717,20.64,20190718,2983284,20190620
21,1608,0,20190719,20.55,22.91,19.58,20.78,20.78,34967,22.91,16.06,19.18428571,0,19.18428571,0,737454.03,242826.4571,0.14399996,0.162043796,0.006782946,0.011192214,-0.004360465,0.170071502,0.052957863,0.840680019,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,21.55,20190717,20.78,20190719,2983284,20190620
22,1607,0,20190722,20.53,22.74,19.72,22.38,22.38,77467,22.91,16.06,19.32954545,0,19.32954545,0,1674320.093,227077.9374,0.341147189,0.147101802,0.076997113,0.090112031,-0.012030799,0.153144016,0.053071386,0.842482131,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,22.38,20190722,20.78,20190719,2983284,20190620
23,1606,0,20190723,22.58,24.82,22.58,23.35,23.35,120588,24.82,16.06,19.50434783,0,19.50434783,0,2843867,216936.0386,0.555868913,0.099202834,0.04334227,0.034100974,0.00893655,0.099202834,0.052710705,0.8367565,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,23.35,20190723,20.78,20190719,2983284,20190620
24,1605,0,20190724,23.35,24.89,22.86,22.86,22.86,19714,24.89,16.06,19.64416667,0,19.64416667,0,464001.8467,198152.9873,0.099488785,0.086937901,-0.020985011,-0.020985011,0,0.0888014,0.051280651,0.81405509,0.096792035,20190626,-0.069343066,20190708,0.366127024,20190620,23.35,20190723,22.86,20190724,2983284,20190620
25,1604,0,20190725,22.77,26.18,22.25,25.41,25.41,39738,26.18,16.06,19.8748,0,19.8748,0,978084.64,183065.8457,0.217069437,0.17259552,0.111548556,0.115942029,-0.003937008,0.176629213,0.052637465,0.835593849,0.111548556,20190725,-0.069343066,20190708,0.366127024,20190620,25.41,20190725,22.86,20190724,2983284,20190620
26,1603,0,20190726,25.63,26.87,25.19,26.12,26.12,32268,26.87,16.06,20.115,0,20.115,0,840904.08,168704.1461,0.191269751,0.065548186,0.027941755,0.019118221,0.008658009,0.066693132,0.049399835,0.78419807,0.111548556,20190725,-0.069343066,20190708,0.366127024,20190620,26.12,20190726,22.86,20190724,2983284,20190620
27,1602,0,20190729,26,26,22.33,24.09,24.09,123984,26.87,16.06,20.26222222,0,20.26222222,0,2992973.76,164445.0845,0.753953822,0.141153846,-0.077718224,-0.073461538,-0.004594181,0.164352888,0.053714199,0.852686475,0.111548556,20190725,-0.077718224,20190729,0.366127024,20190620,26.12,20190726,24.09,20190729,2983284,20190620
28,1601,0,20190730,24.33,24.89,23.31,23.76,23.76,32119,26.87,16.06,20.38714286,0,20.38714286,0,770427.7467,151842.6003,0.211528253,0.064940403,-0.01369863,-0.023427867,0.00996264,0.067782068,0.053879171,0.855305324,0.111548556,20190725,-0.077718224,20190729,0.366127024,20190620,26.12,20190726,23.76,20190730,2983284,20190620
29,1600,0,20190731,23.55,24.9,23.51,24.2,24.2,47270,26.87,16.06,20.51862069,0,20.51862069,0,1144091.567,141883.305,0.333161114,0.059023355,0.018518519,0.027600849,-0.008838384,0.059123777,0.05267419,0.836176838,0.111548556,20190725,-0.077718224,20190729,0.366127024,20190620,26.12,20190726,24.2,20190731,2983284,20190620
30,1599,0,20190801,24.4,25.36,24.25,24.37,24.37,47634,26.87,16.06,20.647,0,20.647,0,1174654.44,132907.1807,0.3584005,0.045491803,0.007024793,-0.001229508,0.008264463,0.045773196,0.052202116,0.828682901,0.111548556,20190725,-0.077718224,20190729,0.366127024,20190620,26.12,20190726,24.37,20190801,2983284,20190620
