DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,1210,ANEB,20210507,7.48,7.48,6.72,7.1,7.1,1314800,7.48,6.72,7.1,0,7.1,0,9335080,1314800,1,0.101604278,0,-0.050802139,0,0.113095238,0,0,0,20210507,0,20210507,0.113095238,20210507,7.1,20210507,7.1,20210507,1314800,20210507
2,1209,ANEB,20210510,7,7.2,7,7.05,7.05,242300,7.48,6.72,7.075,0,7.075,0,1716291.667,778550,0.311219575,0.028571429,-0.007042254,0.007142857,-0.014084507,0.028571429,0.004979625,0.0790491,0,20210507,-0.007042254,20210510,0.113095238,20210507,7.1,20210507,7.05,20210510,1314800,20210507
3,1208,ANEB,20210511,7,7.1,7,7.08,7.08,146500,7.48,6.72,7.076666667,0,7.076666667,0,1034290,567866.6667,0.257983095,0.014285714,0.004255319,0.011428571,-0.007092199,0.014285714,0.00570579,0.090576605,0.004255319,20210511,-0.007042254,20210510,0.113095238,20210507,7.1,20210507,7.08,20210511,1314800,20210507
4,1207,ANEB,20210512,7,7.09,6.97,7,7,47800,7.48,6.72,7.0575,0,7.0575,0,335556,437850,0.109169807,0.017142857,-0.011299435,0,-0.011299435,0.017216643,0.006970697,0.110656387,0.004255319,20210511,-0.011299435,20210512,0.113095238,20210507,7.1,20210507,7,20210512,1314800,20210507
5,1206,ANEB,20210513,7.01,7.03,7,7,7,12800,7.48,6.72,7.046,0,7.046,0,89728,352840,0.036277066,0.004279601,0,-0.001426534,0.001428571,0.004285714,0.006238853,0.099038721,0.004255319,20210511,-0.011299435,20210512,0.113095238,20210507,7.1,20210507,7,20210513,1314800,20210507
6,1205,ANEB,20210514,6.31,7.08,6.31,7.03,7.03,65200,7.48,6.31,7.043333333,0,7.043333333,0,443794.6667,304900,0.213840603,0.122028526,0.004285714,0.114104596,-0.098571429,0.122028526,0.00628867,0.09982954,0.004285714,20210514,-0.011299435,20210512,0.122028526,20210514,7.1,20210507,7.03,20210514,1314800,20210507
7,1204,ANEB,20210517,7.02,7.1,7,7.02,7.02,45000,7.48,6.31,7.04,0,7.04,0,316800,267771.4286,0.168053777,0.014245014,-0.001422475,0,-0.001422475,0.014285714,0.005741298,0.091140276,0.004285714,20210514,-0.011299435,20210512,0.122028526,20210514,7.1,20210507,7.02,20210517,1314800,20210507
8,1203,ANEB,20210518,7.01,7.15,7,7,7,7600,7.48,6.31,7.035,0,7.035,0,53580,235250,0.032306057,0.021398003,-0.002849003,-0.001426534,-0.001424501,0.021428571,0.005333624,0.084668651,0.004285714,20210514,-0.011299435,20210512,0.122028526,20210514,7.1,20210507,7,20210518,1314800,20210507
9,1202,ANEB,20210519,7.15,7.15,7,7.1,7.1,18600,7.48,6.31,7.042222222,0,7.042222222,0,131750,211177.7778,0.088077449,0.020979021,0.014285714,-0.006993007,0.021428571,0.021428571,0.007314049,0.116106924,0.014285714,20210519,-0.011299435,20210512,0.122028526,20210514,7.1,20210507,7,20210518,1314800,20210507
10,1201,ANEB,20210520,7.05,7.65,7.05,7.58,7.58,37600,7.65,6.31,7.096,0,7.096,0,279242.6667,193820,0.193994428,0.085106383,0.067605634,0.075177305,-0.007042254,0.085106383,0.022456241,0.356481768,0.067605634,20210520,-0.011299435,20210512,0.122028526,20210514,7.58,20210520,7,20210518,1314800,20210507
11,1200,ANEB,20210521,7.6,9.33,7.47,8.95,8.95,85200,9.33,6.31,7.264545455,0,7.264545455,0,731300,183945.4545,0.463180785,0.244736842,0.180738786,0.177631579,0.002638522,0.248995984,0.056611427,0.898678538,0.180738786,20210521,-0.011299435,20210512,0.248995984,20210521,8.95,20210521,7,20210518,1314800,20210507
12,1199,ANEB,20210524,8.91,9,7.68,8,8,79800,9.33,6.31,7.325833333,0,7.325833333,0,656488,175266.6667,0.4553062,0.148148148,-0.106145251,-0.102132435,-0.004469274,0.171875,0.065533958,1.040319336,0.180738786,20210521,-0.106145251,20210524,0.248995984,20210521,8.95,20210521,8,20210524,1314800,20210507
13,1198,ANEB,20210525,8.2,8.79,8.01,8.03,8.03,11800,9.33,6.31,7.38,0,7.38,0,97664.66667,162692.3077,0.072529551,0.095121951,0.00375,-0.020731707,0.025,0.097378277,0.06278437,0.996670972,0.180738786,20210521,-0.106145251,20210524,0.248995984,20210521,8.95,20210521,8.03,20210525,1314800,20210507
14,1197,ANEB,20210526,8.1,8.15,7.89,8,8,22400,9.33,6.31,7.424285714,0,7.424285714,0,179498.6667,152671.4286,0.146720314,0.032098765,-0.00373599,-0.012345679,0.00871731,0.032953105,0.060453973,0.959677067,0.180738786,20210521,-0.106145251,20210524,0.248995984,20210521,8.95,20210521,8,20210526,1314800,20210507
