DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,1692,APLT,20190514,8.399900436,9.5,7.949999809,9.399999619,9.399999619,1342627,9.5,7.949999809,9.399999619,0,9.399999619,0,12016511.39,1342627,1,0.184526019,0,0.119060838,0,0.194968582,0,0,0,20190514,0,20190514,0.194968582,20190514,9.399999619,20190514,9.399999619,20190514,1342627,20190514
2,1691,APLT,20190515,9.449999809,10.25,9.449999809,9.75,9.75,213946,10.25,7.949999809,9.574999809,0,9.574999809,0,2100236.553,778286.5,0.274893629,0.084656107,0.037234085,0.031746053,0.005319169,0.084656107,0.026328474,0.417951564,0.037234085,20190515,0,20190514,0.194968582,20190514,9.75,20190515,9.399999619,20190514,1342627,20190514
3,1690,APLT,20190516,9.729999542,10.18999958,9.020500183,9.909999847,9.909999847,97827,10.25,7.949999809,9.686666489,0,9.686666489,0,949590.3718,551466.6667,0.177394221,0.120195216,0.016410241,0.018499518,-0.002051329,0.129649063,0.018660589,0.29622767,0.037234085,20190515,0,20190514,0.194968582,20190514,9.909999847,20190516,9.399999619,20190514,1342627,20190514
4,1689,APLT,20190517,9.140000343,10.19349957,9.140000343,10.02000046,10.02000046,116938,10.25,7.949999809,9.769999981,0,9.769999981,0,1144179.875,442834.5,0.26406705,0.115262493,0.011099961,0.096280096,-0.077699245,0.115262493,0.015609042,0.247785854,0.037234085,20190515,0,20190514,0.194968582,20190514,10.02000046,20190517,9.399999619,20190514,1342627,20190514
5,1688,APLT,20190520,10.02000046,10.19999981,10,10.01200008,10.01200008,73017,10.25,7.949999809,9.818400002,0,9.818400002,0,735329.8654,368871,0.19794725,0.01996006,-0.00079844,-0.00079844,0,0.019999981,0.015505688,0.246145169,0.037234085,20190515,-0.00079844,20190520,0.194968582,20190514,10.02000046,20190517,10.01200008,20190520,1342627,20190514
6,1687,APLT,20190521,10.05000019,10.18000031,10,10.05000019,10.05000019,138090,10.25,7.949999809,9.857000033,0,9.857000033,0,1391486.923,330407.5,0.417938455,0.017910478,0.003795456,0,0.003795456,0.018000031,0.014346506,0.227743724,0.037234085,20190515,-0.00079844,20190520,0.194968582,20190514,10.05000019,20190521,10.01200008,20190520,1342627,20190514
7,1686,APLT,20190522,10,10.06499958,9.725000381,10,10,37246,10.25,7.949999809,9.8774286,0,9.8774286,0,369852.7795,288527.2857,0.129090044,0.03399992,-0.004975143,0,-0.004975143,0.034961356,0.014467657,0.229666933,0.037234085,20190515,-0.004975143,20190522,0.194968582,20190514,10.05000019,20190521,10,20190522,1342627,20190514
8,1685,APLT,20190523,10.09000015,10.09000015,9.850000381,9.93999958,9.93999958,13687,10.25,7.949999809,9.885249972,0,9.885249972,0,136322.5205,254172.25,0.053849309,0.023785904,-0.006000042,-0.014866261,0.009000015,0.024365458,0.014401779,0.22862116,0.037234085,20190515,-0.006000042,20190523,0.194968582,20190514,10.05000019,20190521,9.93999958,20190523,1342627,20190514
9,1684,APLT,20190524,10,10.02999973,9.68999958,10.01000023,10.01000023,88671,10.25,7.949999809,9.899111112,0,9.899111112,0,878729.5965,235783.2222,0.376070015,0.034000015,0.007042319,0.001000023,0.00603626,0.035087737,0.013471643,0.2138557,0.037234085,20190515,-0.006000042,20190523,0.194968582,20190514,10.05000019,20190521,10.01000023,20190524,1342627,20190514
10,1683,APLT,20190528,10.01000023,10.05000019,9.93999958,9.93999958,9.93999958,6405,10.25,7.949999809,9.903199959,0,9.903199959,0,63900.54862,212845.4,0.030092264,0.010989072,-0.006993072,-0.006993072,0,0.01106646,0.013459307,0.213659874,0.037234085,20190515,-0.006993072,20190528,0.194968582,20190514,10.05000019,20190521,9.93999958,20190528,1342627,20190514
