DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,1012,CEY,20010620,24,24,23.899,23.899,23.899,11000,24,23.899,23.899,0,23.899,0,263259.3333,11000,1,0.004208333,0,-0.004208333,0,0.004226118,0,0,0,20010620,0,20010620,0.004226118,20010620,23.899,20010620,23.899,20010620,11000,20010620
2,1011,CEY,20010621,24.5,25.5,24.5,25.5,25.5,39300,25.5,23.899,24.6995,0,24.6995,0,989050,25150,1.562624254,0.040816327,0.066990251,0.040816327,0.025147496,0.040816327,0.04736926,0.751963698,0.066990251,20010621,0,20010620,0.040816327,20010621,25.5,20010621,23.899,20010620,39300,20010621
3,1010,CEY,20010622,25.5,25.649,25.5,25.6,25.6,33800,25.649,23.899,24.99966667,0,24.99966667,0,864705.4,28033.33333,1.205707491,0.005843137,0.003921569,0.003921569,0,0.005843137,0.037595946,0.596817144,0.066990251,20010621,0,20010620,0.040816327,20010621,25.6,20010622,23.899,20010620,39300,20010621
4,1009,CEY,20010626,26.5,26.5,26.149,26.45,26.45,109800,26.5,23.899,25.36225,0,25.36225,0,2895023.4,48475,2.265085095,0.013245283,0.033203125,-0.001886792,0.03515625,0.013423075,0.031067343,0.493178788,0.066990251,20010621,0,20010620,0.040816327,20010621,26.45,20010626,23.899,20010620,109800,20010626
5,1008,CEY,20010627,26.45,26.6,26.44,26.6,26.6,185300,26.6,23.899,25.6098,0,25.6098,0,4919097.333,75840,2.443301688,0.006049149,0.005671078,0.005671078,0,0.006051437,0.028403727,0.450895192,0.066990251,20010621,0,20010620,0.040816327,20010621,26.6,20010627,23.899,20010620,185300,20010627
6,1007,CEY,20010628,26.799,27.5,26.799,27.5,27.5,66000,27.5,23.899,25.92483333,0,25.92483333,0,1799578,74200,0.889487871,0.026157692,0.033834586,0.026157692,0.007481203,0.026157692,0.02586367,0.410573029,0.066990251,20010621,0,20010620,0.040816327,20010621,27.5,20010628,23.899,20010620,185300,20010627
7,1006,CEY,20010629,27.549,28.1,27.549,28,28,71300,28.1,23.899,26.22128571,0,26.22128571,0,1988057.9,73785.71429,0.966311713,0.020000726,0.018181818,0.01637083,0.001781818,0.020000726,0.023710178,0.376387403,0.066990251,20010621,0,20010620,0.040816327,20010621,28,20010629,23.899,20010620,185300,20010627
8,1005,CEY,20010703,28.01,28.159,28.01,28.049,28.049,56200,28.159,23.899,26.44975,0,26.44975,0,1577683.867,71587.5,0.785053257,0.005319529,0.00175,0.00139236,0.000357143,0.005319529,0.02321461,0.368520505,0.066990251,20010621,0,20010620,0.040816327,20010621,28.049,20010703,23.899,20010620,185300,20010627
9,1004,CEY,20010705,28.049,28.049,27.94,27.95,27.95,61900,28.159,23.899,26.61644444,0,26.61644444,0,1731941.367,70511.11111,0.877875827,0.003886057,-0.003529538,-0.003529538,0,0.003901217,0.023138984,0.36731998,0.066990251,20010621,-0.003529538,20010705,0.040816327,20010621,28.049,20010703,27.95,20010705,185300,20010627
10,1003,CEY,20010706,27.95,30,26.899,30,30,3337400,30,23.899,26.9548,0,26.9548,0,96672240.87,397200,8.402316213,0.110948122,0.073345259,0.073345259,0,0.115283096,0.028011935,0.444675689,0.073345259,20010706,-0.003529538,20010705,0.115283096,20010706,30,20010706,27.95,20010705,3337400,20010706
