DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,3714,MEL,19900102,0.784686018,0.794515418,0.774690018,0.784686018,0.784686018,21187274,0.794515418,0.774690018,0.784686018,0,0.784686018,0,16624181.07,21187274,1,0.025265393,0,0,0,0.025591398,0,0,0,19900102,0,19900102,0.025591398,19900102,0.784686018,19900102,0.784686018,19900102,21187274,19900102
2,3713,MEL,19900103,0.784686018,0.799680018,0.784686018,0.789517418,0.789517418,28512604,0.799680018,0.774690018,0.787101718,0,0.787101718,0,22561866.3,24849939,1.147391307,0.01910828,0.006157113,0.006157113,0,0.01910828,0.004353736,0.069113417,0.006157113,19900103,0,19900102,0.025591398,19900102,0.789517418,19900103,0.784686018,19900102,28512604,19900103
3,3712,MEL,19900104,0.789517418,0.794515418,0.789517418,0.794515418,0.794515418,17827130,0.799680018,0.774690018,0.789572952,0,0.789572952,0,14134229.65,22509002.67,0.791999995,0.006330449,0.006330449,0.006330449,0,0.006330449,0.00360589,0.057241735,0.006330449,19900104,0,19900102,0.025591398,19900102,0.794515418,19900104,0.784686018,19900102,28512604,19900103
4,3711,MEL,19900105,0.794515418,0.794515418,0.784686018,0.789517418,0.789517418,18356542,0.799680018,0.774690018,0.789559068,0,0.789559068,0,14493829.05,21470887.5,0.854950314,0.012371566,-0.006290627,-0.006290627,0,0.012526539,0.005998781,0.095227692,0.006330449,19900104,-0.006290627,19900105,0.025591398,19900102,0.794515418,19900104,0.789517418,19900105,28512604,19900103
5,3710,MEL,19900109,0.789517418,0.794515418,0.779521418,0.779521418,0.779521418,16433373,0.799680018,0.774690018,0.787551538,0,0.787551538,0,12892300.22,20463384.6,0.803062315,0.018991348,-0.012660899,-0.012660899,0,0.019234879,0.008208203,0.130301189,0.006330449,19900104,-0.012660899,19900109,0.025591398,19900102,0.794515418,19900104,0.779521418,19900109,28512604,19900103
6,3709,MEL,19900110,0.779521418,0.784686018,0.769525418,0.769525418,0.769525418,14866746,0.799680018,0.769525418,0.784547185,0,0.784547185,0,11515468.52,19530611.5,0.76120228,0.0194486,-0.012823253,-0.012823253,0,0.019701234,0.008721139,0.138443791,0.006330449,19900104,-0.012823253,19900110,0.025591398,19900102,0.794515418,19900104,0.769525418,19900110,28512604,19900103
7,3708,MEL,19900111,0.769525418,0.779521418,0.764694018,0.769525418,0.769525418,5132052,0.799680018,0.764694018,0.782401218,0,0.782401218,0,3958079.458,17473674.43,0.293701936,0.01926824,0,0,0,0.019389978,0.008053451,0.127844565,0.006330449,19900104,-0.012823253,19900110,0.025591398,19900102,0.794515418,19900104,0.769525418,19900111,28512604,19900103
8,3707,MEL,19900112,0.754698017,0.764694018,0.749700017,0.754698017,0.754698017,4948379,0.799680018,0.749700017,0.778938318,0,0.778938318,0,3742775.82,15908012.5,0.311062051,0.01986755,-0.01926824,0,-0.01926824,0.02,0.009469805,0.150328494,0.006330449,19900104,-0.01926824,19900112,0.025591398,19900102,0.794515418,19900104,0.754698017,19900112,28512604,19900103
9,3706,MEL,19900116,0.749700017,0.749700017,0.744535417,0.744535417,0.744535417,9659063,0.799680018,0.744535417,0.775115773,0,0.775115773,0,7208142.899,15213684.78,0.634893068,0.006888889,-0.013465784,-0.006888889,-0.006622517,0.006936675,0.009315265,0.147875242,0.006330449,19900104,-0.01926824,19900112,0.025591398,19900102,0.794515418,19900104,0.744535417,19900116,28512604,19900103
10,3705,MEL,19900117,0.744535417,0.744535417,0.739704017,0.739704017,0.739704017,7552220,0.799680018,0.739704017,0.771574598,0,0.771574598,0,5598570.07,14447538.3,0.522734036,0.006489147,-0.006489147,-0.006489147,0,0.006531532,0.008785377,0.139463539,0.006330449,19900104,-0.01926824,19900112,0.025591398,19900102,0.794515418,19900104,0.739704017,19900117,28512604,19900103
11,3704,MEL,19900118,0.739704017,0.754698017,0.739704017,0.754698017,0.754698017,5445378,0.799680018,0.739704017,0.770040363,0,0.770040363,0,4082399.981,13629160.09,0.39953878,0.02027027,0.02027027,0.02027027,0,0.02027027,0.011467079,0.182034243,0.02027027,19900118,-0.01926824,19900112,0.025591398,19900102,0.794515418,19900104,0.754698017,19900118,28512604,19900103
12,3703,MEL,19900119,0.754698017,0.779521418,0.754698017,0.769525418,0.769525418,9615846,0.799680018,0.739704017,0.769997451,0,0.769997451,0,7384151.91,13294717.25,0.723283227,0.032891832,0.019646799,0.019646799,0,0.032891832,0.012810023,0.203352806,0.02027027,19900118,-0.01926824,19900112,0.032891832,19900119,0.794515418,19900104,0.769525418,19900119,28512604,19900103
