DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,1256,RCC,20210216,25.3,25.3,25.17,25.24,19.7,134500,25.3,25.17,25.24,0,25.24,0,3394331.667,134500,1,0.00513834,0,-0.002371542,0,0.005164879,0,0,0,20210216,0,20210216,0.005164879,20210216,25.24,20210216,25.24,20210216,134500,20210216
2,1255,RCC,20210217,25.25,25.85,25.25,25.54,19.94,90500,25.85,25.17,25.39,0,25.39,0,2311973.333,112500,0.804444444,0.023762376,0.012182741,0.011485149,0.000396197,0.023762376,0.008614499,0.13675093,0.012182741,20210217,0,20210216,0.023762376,20210217,25.54,20210217,25.24,20210216,134500,20210216
3,1254,RCC,20210218,25.69,25.84,25.49,25.83,20.16,148500,25.85,25.17,25.53666667,0,25.53666667,0,3819420,124500,1.192771084,0.013623978,0.011033099,0.005449591,0.00587314,0.013730875,0.006726442,0.106778958,0.012182741,20210217,0,20210216,0.023762376,20210217,25.83,20210218,25.24,20210216,148500,20210218
4,1253,RCC,20210219,25.78,25.86,25.69,25.85,20.18,78500,25.86,25.17,25.615,0,25.615,0,2025300,113000,0.694690265,0.006594259,0.000992063,0.002715283,-0.001935734,0.006617361,0.006445334,0.102316508,0.012182741,20210217,0,20210216,0.023762376,20210217,25.85,20210219,25.24,20210216,148500,20210218
5,1252,RCC,20210222,25.74,25.98,25.74,25.94,20.25,34600,25.98,25.17,25.68,0,25.68,0,895678.6667,97320,0.355528155,0.009324009,0.003468781,0.007770008,-0.004255319,0.009324009,0.005700117,0.090486545,0.012182741,20210217,0,20210216,0.023762376,20210217,25.94,20210222,25.24,20210216,148500,20210218
6,1251,RCC,20210223,25.98,25.98,25.74,25.83,20.16,5700,25.98,25.17,25.705,0,25.705,0,147345,82050,0.069469835,0.009237875,-0.004444444,-0.005773672,0.00154202,0.009324009,0.006526286,0.103601571,0.012182741,20210217,-0.004444444,20210223,0.023762376,20210217,25.94,20210222,25.83,20210223,148500,20210218
7,1250,RCC,20210224,25.69,25.88,25.69,25.84,20.17,10300,25.98,25.17,25.72428571,0,25.72428571,0,265774.3333,71800,0.143454039,0.007395874,0.000496032,0.005838848,-0.005420054,0.007395874,0.006092772,0.096719761,0.012182741,20210217,-0.004444444,20210223,0.023762376,20210217,25.94,20210222,25.84,20210224,148500,20210218
8,1249,RCC,20210225,25.9,25.95,25.61,25.8,20.14,10400,25.98,25.17,25.73375,0,25.73375,0,268181.3333,64125,0.162183236,0.013127413,-0.001487357,-0.003861004,0.002321981,0.013276064,0.005898476,0.093635411,0.012182741,20210217,-0.004444444,20210223,0.023762376,20210217,25.94,20210222,25.8,20210225,148500,20210218
9,1248,RCC,20210226,25.89,26.94,25.71,26.59,20.76,585500,26.94,25.17,25.82888889,0,25.82888889,0,15465006.67,122055.5556,4.796995904,0.047508691,0.030784508,0.027037466,0.003488372,0.047841307,0.010843499,0.172135214,0.030784508,20210226,-0.004444444,20210223,0.047841307,20210226,26.59,20210226,25.8,20210225,585500,20210226
10,1247,RCC,20210301,26.4,26.4,26,26.1,20.37,208300,26.94,25.17,25.856,0,25.856,0,5450516.667,130680,1.593970003,0.015151515,-0.018786127,-0.011363636,-0.007145543,0.015384615,0.012861433,0.204168914,0.030784508,20210226,-0.018786127,20210301,0.047841307,20210226,26.59,20210226,26.1,20210301,585500,20210226
