DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,5105,SSKN,20051103,2545,2650,2500,2560,2560,34,2650,2500,2560,0,2560,0,87380,34,1,0.058939096,0,0.00589391,0,0.06,0,0,0,20051103,0,20051103,0.06,20051103,2560,20051103,2560,20051103,34,20051103
2,5104,SSKN,20051104,2620,2775,2500,2775,2775,220,2775,2500,2667.5,0,2667.5,0,590333.3333,127,1.732283465,0.104961832,0.083984375,0.059160305,0.0234375,0.11,0.059385921,0.942722271,0.083984375,20051104,0,20051103,0.11,20051104,2775,20051104,2560,20051103,220,20051104
3,5103,SSKN,20051107,2875,2975,2660,2945,2945,73,2975,2500,2760,0,2760,0,208780,109,0.669724771,0.109565217,0.061261261,0.024347826,0.036036036,0.118421053,0.043440874,0.689602498,0.083984375,20051104,0,20051103,0.118421053,20051107,2945,20051107,2560,20051103,220,20051104
4,5102,SSKN,20051108,3025,3080,2910,3070,3070,21,3080,2500,2837.5,0,2837.5,0,63420,87,0.24137931,0.056198347,0.042444822,0.014876033,0.027164686,0.058419244,0.035594725,0.565048736,0.083984375,20051104,0,20051103,0.118421053,20051107,3070,20051108,2560,20051103,220,20051104
5,5101,SSKN,20051109,3095,3135,2750,3050,3050,42,3135,2500,2880,0,2880,0,125090,78,0.538461538,0.124394184,-0.006514658,-0.01453958,0.008143322,0.14,0.039004445,0.61917637,0.083984375,20051104,-0.006514658,20051109,0.14,20051109,3070,20051108,3050,20051109,220,20051104
6,5100,SSKN,20051110,3080,3225,2930,3145,3145,32,3225,2500,2924.166667,0,2924.166667,0,99200,70.33333333,0.454976303,0.095779221,0.031147541,0.021103896,0.009836066,0.100682594,0.03494841,0.55478881,0.083984375,20051104,-0.006514658,20051109,0.14,20051109,3145,20051110,3050,20051109,220,20051104
7,5099,SSKN,20051111,3100,3300,3100,3250,3250,34,3300,2500,2970.714286,0,2970.714286,0,109366.6667,65.14285714,0.521929825,0.064516129,0.033386328,0.048387097,-0.014308426,0.064516129,0.03191235,0.50659285,0.083984375,20051104,-0.006514658,20051109,0.14,20051109,3250,20051111,3050,20051109,220,20051104
8,5098,SSKN,20051114,3390,3935,3380,3570,3570,38,3935,2500,3045.625,0,3045.625,0,137876.6667,61.75,0.615384615,0.163716814,0.098461538,0.053097345,0.043076923,0.164201183,0.037077302,0.588583923,0.098461538,20051114,-0.006514658,20051109,0.164201183,20051114,3570,20051114,3050,20051109,220,20051104
9,5097,SSKN,20051115,3925,4000,3675,3875,3875,52,4000,2500,3137.777778,0,3137.777778,0,200200,60.66666667,0.857142857,0.082802548,0.085434174,-0.012738854,0.099439776,0.088435374,0.037453398,0.59455426,0.098461538,20051114,-0.006514658,20051109,0.164201183,20051114,3875,20051115,3050,20051109,220,20051104
10,5096,SSKN,20051116,4000,4000,3750,4000,4000,60,4000,2500,3224,0,3224,0,235000,60.6,0.99009901,0.0625,0.032258065,0,0.032258065,0.066666667,0.035648918,0.565909033,0.098461538,20051114,-0.006514658,20051109,0.164201183,20051114,4000,20051116,3050,20051109,220,20051104
