DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,9724,TEF,19870612,2.006067038,2.085854053,1.960474968,2.051660061,0.350886524,50527023,2.085854053,1.960474968,2.051660061,0,2.051660061,0,102704411.5,50527023,1,0.062499948,0,0.022727567,0,0.063953423,0,0,0,19870612,0,19870612,0.063953423,19870612,2.051660061,19870612,2.051660061,19870612,50527023,19870612
2,9723,TEF,19870615,2.108649969,2.120048046,2.051660061,2.063057899,0.352835953,17437104,2.120048046,1.960474968,2.05735898,0,2.05735898,0,36238754.42,33982063.5,0.513126697,0.032432118,0.005555726,-0.02162145,0.027777461,0.033333,0.003928492,0.062362874,0.005555726,19870615,0,19870612,0.063953423,19870612,2.063057899,19870615,2.051660061,19870612,50527023,19870612
3,9722,TEF,19870616,2.063057899,2.063057899,1.971873045,1.983271003,0.339190334,14805088,2.120048046,1.960474968,2.032662988,0,2.032662988,0,29700003.14,27589738.33,0.536615745,0.044198883,-0.038674118,-0.038674095,0,0.046242761,0.024092988,0.382464335,0.005555726,19870615,-0.038674118,19870616,0.063953423,19870612,2.063057899,19870615,1.983271003,19870616,50527023,19870612
4,9721,TEF,19870617,2.006067038,2.006067038,1.971873045,1.994668961,0.341139644,4271542,2.120048046,1.960474968,2.023164481,0,2.023164481,0,8504083.459,21760189.25,0.196300774,0.017045289,0.005746951,-0.005681803,0.01149416,0.017340869,0.021387551,0.339516843,0.005746951,19870617,-0.038674118,19870616,0.063953423,19870612,2.063057899,19870615,1.994668961,19870617,50527023,19870612
5,9720,TEF,19870618,1.994668961,2.085854053,1.994668961,2.085854053,0.356734693,8514571,2.120048046,1.960474968,2.035702395,0,2.035702395,0,17501351.78,19111065.6,0.445530939,0.045714399,0.04571456,0.045714399,0,0.045714399,0.029925357,0.47505031,0.04571456,19870618,-0.038674118,19870616,0.063953423,19870612,2.085854053,19870618,1.994668961,19870617,50527023,19870612
6,9719,TEF,19870619,2.074455976,2.222630978,2.051660061,2.177038908,0.372329623,13927749,2.222630978,1.960474968,2.059258481,0,2.059258481,0,29950834.74,18247179.5,0.763282292,0.082417231,0.043715763,0.049450522,-0.005464465,0.083332965,0.031364265,0.497892277,0.04571456,19870618,-0.038674118,19870616,0.083332965,19870619,2.177038908,19870619,1.994668961,19870617,50527023,19870612
7,9718,TEF,19870622,2.188436985,2.256825924,2.188436985,2.256825924,0.385975331,11844070,2.256825924,1.960474968,2.087482401,0,2.087482401,0,26460003.09,17332449.57,0.683346572,0.031250129,0.036649538,0.031250129,0.005235587,0.031250129,0.03030883,0.481137758,0.04571456,19870618,-0.038674118,19870616,0.083332965,19870619,2.256825924,19870622,1.994668961,19870617,50527023,19870612
8,9717,TEF,19870623,2.245426893,2.245426893,2.188436985,2.222630978,0.380126953,4225482,2.256825924,1.960474968,2.104375973,0,2.104375973,0,9375633.066,15694078.63,0.269240527,0.025380434,-0.015152207,-0.010152152,-0.005050913,0.026041375,0.029905907,0.474741549,0.04571456,19870618,-0.038674118,19870616,0.083332965,19870619,2.256825924,19870622,2.222630978,19870623,50527023,19870612
9,9716,TEF,19870624,2.108649969,2.165641069,2.108649969,2.108649969,0.360633343,2632016,2.256825924,1.960474968,2.104850862,0,2.104850862,0,5600000.953,14242738.33,0.184797048,0.027027293,-0.05128184,0,-0.051282021,0.027027293,0.034726319,0.551263221,0.04571456,19870618,-0.05128184,19870624,0.083332965,19870619,2.256825924,19870622,2.108649969,19870624,50527023,19870612
10,9715,TEF,19870625,2.142843962,2.222630978,2.142843962,2.199835062,0.376228362,8267819,2.256825924,1.960474968,2.114349282,0,2.114349282,0,18093598.26,13645246.4,0.605912034,0.03723417,0.043243419,0.02659601,0.016216059,0.03723417,0.035059908,0.556558791,0.04571456,19870618,-0.05128184,19870624,0.083332965,19870619,2.256825924,19870622,2.199835062,19870625,50527023,19870612
11,9714,TEF,19870626,2.211232901,2.222630978,2.177038908,2.188436985,0.374278933,6136983,2.256825924,1.960474968,2.121084528,0,2.121084528,0,13477033.29,12962677,0.473434847,0.020618393,-0.005181506,-0.010309143,0.005181224,0.020942239,0.033481594,0.531503829,0.04571456,19870618,-0.05128184,19870624,0.083332965,19870619,2.256825924,19870622,2.188436985,19870626,50527023,19870612
12,9713,TEF,19870629,2.188436985,2.188436985,2.142843962,2.188436985,0.374278933,1933435,2.256825924,1.960474968,2.126697232,0,2.126697232,0,4201816.946,12043573.5,0.160536655,0.020833601,0,0,0,0.021276875,0.031976767,0.507615446,0.04571456,19870618,-0.05128184,19870624,0.083332965,19870619,2.256825924,19870622,2.188436985,19870629,50527023,19870612
13,9712,TEF,19870630,2.165641069,2.165641069,2.131445885,2.142843962,0.366481304,3532384,2.256825924,1.960474968,2.127939288,0,2.127939288,0,7582769.643,11388866.62,0.310161153,0.015789867,-0.020833736,-0.010526725,-0.010416528,0.016043187,0.031497964,0.500014674,0.04571456,19870618,-0.05128184,19870624,0.083332965,19870619,2.256825924,19870622,2.142843962,19870630,50527023,19870612
14,9711,TEF,19870701,2.165641069,2.165641069,2.074455976,2.085854053,0.356734693,5266225,2.256825924,1.960474968,2.1249332,0,2.1249332,0,11104627.28,10951535.07,0.480866378,0.042105358,-0.026595111,-0.036842216,0.010638716,0.043956148,0.031334153,0.497414253,0.04571456,19870618,-0.05128184,19870624,0.083332965,19870619,2.256825924,19870622,2.085854053,19870701,50527023,19870612
