DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,896,VIEW,20201021,581.7,581.7,581.7,581.7,581.7,0,581.7,581.7,581.7,0,581.7,0,0,0,0,0,0,0,0,0,0,0,0,20201021,0,20201021,0,20201021,581.7,20201021,581.7,20201021,MAX_VOLUME,DATE_MAX_VOLUME
2,895,VIEW,20201023,581.4,581.4,579,581.4,581.4,110,581.7,579,581.55,0,581.55,0,63866,55,2,0.004127967,-0.00051573,0,-0.00051573,0.004145078,0.000364676,0.005789052,0,20201021,-0.00051573,20201023,0.004145078,20201023,581.7,20201021,581.4,20201023,110,20201023
3,894,VIEW,20201026,588.618,630.6,576,586.5,586.5,7140,630.6,576,583.2,0,583.2,0,4267578,2416.666667,2.954482759,0.092759651,0.00877193,-0.003598259,0.012414861,0.094791667,0.005219728,0.08286061,0.00877193,20201026,-0.00051573,20201023,0.094791667,20201026,586.5,20201026,581.4,20201023,7140,20201026
4,893,VIEW,20201027,580.5,585,580.5,585,585,20,630.6,576,583.65,0,583.65,0,11670,1817.5,0.011004127,0.007751938,-0.002557545,0.007751938,-0.010230179,0.007751938,0.005021125,0.079707893,0.00877193,20201026,-0.002557545,20201027,0.094791667,20201026,586.5,20201026,585,20201027,7140,20201026
5,892,VIEW,20201028,580.8,580.8,580.8,580.8,580.8,0,630.6,576,583.08,0,583.08,0,0,1454,0,0,-0.007179487,0,-0.007179487,0,0.005806467,0.092174804,0.00877193,20201026,-0.007179487,20201028,0.094791667,20201026,586.5,20201026,580.8,20201028,7140,20201026
6,891,VIEW,20201029,576,584.4,576,582,582,30,630.6,576,582.9,0,582.9,0,17424,1216.666667,0.024657534,0.014583333,0.002066116,0.010416667,-0.008264463,0.014583333,0.005282245,0.083853034,0.00877193,20201026,-0.007179487,20201028,0.094791667,20201026,586.5,20201026,582,20201029,7140,20201026
7,890,VIEW,20201103,576.6,584.4,576.6,581.202,581.202,40,630.6,576,582.6574286,0,582.6574286,0,23229.36,1048.571429,0.038147139,0.013527575,-0.001371134,0.00798127,-0.009278351,0.013527575,0.004853854,0.077052551,0.00877193,20201026,-0.007179487,20201028,0.094791667,20201026,586.5,20201026,581.202,20201103,7140,20201026
8,889,VIEW,20201105,580.2,581.4,579,579.996,579.996,90,630.6,576,582.32475,0,582.32475,0,52211.88,928.75,0.096904441,0.004136505,-0.00207501,-0.000351603,-0.001724013,0.004145078,0.004547059,0.072182331,0.00877193,20201026,-0.007179487,20201028,0.094791667,20201026,586.5,20201026,579.996,20201105,7140,20201026
9,888,VIEW,20201106,583.2,583.2,581.4,581.4,581.4,20,630.6,576,582.222,0,582.222,0,11640,827.7777778,0.024161074,0.00308642,0.002420706,-0.00308642,0.005524176,0.003095975,0.004353039,0.069102355,0.00877193,20201026,-0.007179487,20201028,0.094791667,20201026,586.5,20201026,581.4,20201106,7140,20201026
10,887,VIEW,20201109,588,588,582,582,582,1310,630.6,576,582.1998,0,582.1998,0,765040,876,1.49543379,0.010204082,0.001031992,-0.010204082,0.011351909,0.010309278,0.004118294,0.065375891,0.00877193,20201026,-0.007179487,20201028,0.094791667,20201026,586.5,20201026,582,20201109,7140,20201026
