DAYS,DAYS_TO_DELISTING,TICKER,DATE,OPEN,HIGH,LOW,CLOSE,ADJ_CLOSE,VOLUME,52W_HIGH,52W_LOW,CLOSE_MA50,ABOVE_MA50,CLOSE_MA200,ABOVE_MA200,DOLLAR_VOLUME,VOLUME_MA20,VOLUME_RATIO,PRICE_RANGE_PCT,CLOSE_TO_CLOSE_RETURN,INTRADAY_RETURN,OVERNIGHT_RETURN,DAILY_RANGE_PCT,VOLATILITY_20D,VOLATILITY_20D_ANN,HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MAX_CLOSE_TO_CLOSE_RETURN,HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,DATE_HISTORICAL_MIN_CLOSE_TO_CLOSE_RETURN,HISTORICAL_VOLATILITY,DATE_HISTORICAL_VOLATILITY,HISTORICAL_HIGH,DATE_HISTORICAL_HIGH,HISTORICAL_LOW,DATE_HISTORICAL_LOW,MAX_VOLUME,DATE_MAX_VOLUME
1,8036,ZEUS,19940310,15.5,16.5,15.5,15.5,13.36,2071000,16.5,15.5,15.5,0,15.5,0,32790833.33,2071000,1,0.064516129,0,0,0,0.064516129,0,0,0,19940310,0,19940310,0.064516129,19940310,15.5,19940310,15.5,19940310,2071000,19940310
2,8035,ZEUS,19940311,15.5,15.63,15.5,15.5,13.36,178800,16.5,15.5,15.5,0,15.5,0,2779148,1124900,0.158947462,0.008387097,0,0,0,0.008387097,0,0,0,19940310,0,19940310,0.064516129,19940310,15.5,19940310,15.5,19940310,2071000,19940310
3,8034,ZEUS,19940314,15.5,15.75,15.5,15.5,13.36,133900,16.5,15.5,15.5,0,15.5,0,2086608.333,794566.6667,0.168519528,0.016129032,0,0,0,0.016129032,0,0,0,19940310,0,19940310,0.064516129,19940310,15.5,19940310,15.5,19940310,2071000,19940310
4,8033,ZEUS,19940315,15.75,15.75,15.5,15.75,13.58,287100,16.5,15.5,15.5625,0,15.5625,0,4497900,667700,0.429983526,0.015873016,0.016467066,0,0.016129032,0.016129032,0.008233533,0.130703283,0.016467066,19940315,0,19940310,0.064516129,19940310,15.75,19940315,15.5,19940310,2071000,19940310
5,8032,ZEUS,19940316,15.5,15.75,15.5,15.5,13.36,203400,16.5,15.5,15.55,0,15.55,0,3169650,574840,0.35383759,0.016129032,-0.016200295,0,-0.015873016,0.016129032,0.011549887,0.183348774,0.016467066,19940315,-0.016200295,19940316,0.064516129,19940310,15.75,19940315,15.5,19940316,2071000,19940310
6,8031,ZEUS,19940317,15.5,15.75,15.5,15.5,13.36,49100,16.5,15.5,15.54166667,0,15.54166667,0,765141.6667,487216.6667,0.10077652,0.016129032,0,0,0,0.016129032,0.010330556,0.163992493,0.016467066,19940315,-0.016200295,19940316,0.064516129,19940310,15.75,19940315,15.5,19940317,2071000,19940310
7,8030,ZEUS,19940318,15.5,15.75,15.5,15.5,13.36,159300,16.5,15.5,15.53571429,0,15.53571429,0,2482425,440371.4286,0.36174009,0.016129032,0,0,0,0.016129032,0.009430479,0.149704217,0.016467066,19940315,-0.016200295,19940316,0.064516129,19940310,15.75,19940315,15.5,19940318,2071000,19940310
8,8029,ZEUS,19940321,15.63,15.75,15.5,15.63,13.47,90400,16.5,15.5,15.5475,0,15.5475,0,1412650.667,396625,0.227923101,0.015994882,0.008233533,0,0.008387097,0.016129032,0.009199169,0.14603228,0.016467066,19940315,-0.016200295,19940316,0.064516129,19940310,15.75,19940315,15.63,19940321,2071000,19940310
9,8028,ZEUS,19940322,15.5,15.75,15.5,15.5,13.36,150900,16.5,15.5,15.54222222,0,15.54222222,0,2351525,369322.2222,0.408586299,0.016129032,-0.008166295,0,-0.008317338,0.016129032,0.009138386,0.145067387,0.016467066,19940315,-0.016200295,19940316,0.064516129,19940310,15.75,19940315,15.5,19940322,2071000,19940310
10,8027,ZEUS,19940323,15.75,15.75,15.5,15.75,13.58,242600,16.5,15.5,15.563,0,15.563,0,3800733.333,356650,0.680218702,0.015873016,0.016467066,0,0.016129032,0.016129032,0.010061091,0.159714862,0.016467066,19940315,-0.016200295,19940316,0.064516129,19940310,15.75,19940315,15.5,19940322,2071000,19940310
